chunk_id,token_count,text_length,document_id,page,has_embedding
74040f5628748874779838fa7a292b09::chunk_104,60,296,74040f5628748874779838fa7a292b09,105,True
74040f5628748874779838fa7a292b09::chunk_105,176,717,74040f5628748874779838fa7a292b09,106,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_0,31,143,ea73ad6304ed438f7e7d4c59ddd227a1,1,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_1,11,51,ea73ad6304ed438f7e7d4c59ddd227a1,2,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_2,172,747,ea73ad6304ed438f7e7d4c59ddd227a1,3,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_3,35,138,ea73ad6304ed438f7e7d4c59ddd227a1,4,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_4,42,208,ea73ad6304ed438f7e7d4c59ddd227a1,5,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_5,128,554,ea73ad6304ed438f7e7d4c59ddd227a1,6,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_6,208,837,ea73ad6304ed438f7e7d4c59ddd227a1,7,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_7,23,102,ea73ad6304ed438f7e7d4c59ddd227a1,8,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_8,204,781,ea73ad6304ed438f7e7d4c59ddd227a1,9,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_9,126,549,ea73ad6304ed438f7e7d4c59ddd227a1,10,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_10,60,267,ea73ad6304ed438f7e7d4c59ddd227a1,11,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_11,116,488,ea73ad6304ed438f7e7d4c59ddd227a1,12,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_12,20,88,ea73ad6304ed438f7e7d4c59ddd227a1,13,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_13,82,365,ea73ad6304ed438f7e7d4c59ddd227a1,14,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_14,47,213,ea73ad6304ed438f7e7d4c59ddd227a1,15,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_15,77,341,ea73ad6304ed438f7e7d4c59ddd227a1,16,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_16,87,390,ea73ad6304ed438f7e7d4c59ddd227a1,17,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_17,58,247,ea73ad6304ed438f7e7d4c59ddd227a1,18,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_18,156,633,ea73ad6304ed438f7e7d4c59ddd227a1,19,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_19,53,244,ea73ad6304ed438f7e7d4c59ddd227a1,20,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_20,172,711,ea73ad6304ed438f7e7d4c59ddd227a1,21,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_21,160,668,ea73ad6304ed438f7e7d4c59ddd227a1,22,True
ea73ad6304ed438f7e7d4c59ddd227a1::chunk_22,81,331,ea73ad6304ed438f7e7d4c59ddd227a1,23,True
